question|answer
"Professor Ohsawa/Osawa is by far the best professor for Linear Algebra, you're making a mistake choosing someone else. He honestly cares and looks for group participation during lectures to keep things slightly interesting. There are horror stories about the other professors, but Ohsawa makes the course manageable."| "0.5, -0.5"
"He is the best professor for linear algebra. He gives extremely well-planned lectures and provides plenty of practice problems of each each topic he covers. The class gets a little difficult as you progress, but he makes sure we have all of the information for the exams. He's so funny and cool!!"| "1.0, -0.0"
"Osawa is superior to the other lin al profs by far. He engages with you during lecture and is very understanding and fair when he writes test/hw problems. The class material may be confusing/misleading at times but typically everything makes sense with a future lecture due to how lin al builds upon itself. Osawa is awesome"| "1.0, 0.5"
"Excellent professor"| "1.0, -0.5"
"Makes you work for it, but I learned a lot this semester. One of the harder professors but Dr. Raja knows the material very well and can answer any question. Exams were tough but reasonable, and he has a unique way of incorporating multiple concepts into one question."| "1.0, -0.0"
"Very good lecturer. Clear minded and well organized."| "1.0, 1.0"
"Professor Raja is a great professor. His lectures are very clear and straight forward. As long as you study and know how to do his class notes along with the previous quizzes and exams (which he provides), you will do well in his class. Exams are quite difficult but doable."| "0.75, -0.5"
"It's a tough class, no lie. But Raja is an awesome professor and willing to help."| "0.25, -0.0"
"This course was fairly difficult, however he expects the whole class has understood the matter if just two people get it in the front row. Exams are super hard and tricky. Quizzes do not help on the exam. He is more than ready to help during office hours. Cheat sheets allowed. You do learn a lot in the end. DO NOT DEPEND ON PREVIOUS EXAMS."| "-0.25, -1.0"
"Hard course and professor isn't amazingly clear, also he does like no examples."| "0.0, -0.5"
"Fairly challenging course, but Dr. Raja is a nice guy and pretty good at explaining. The tests and quizzes are moderately difficult but you get a help sheet on all the tests and most of the quizzes are open note."| "0.25, -0.0"
"This professor is very nice, friendly, and even remember your name for a long time. His lectures are very helpful, he gives out old exams, and lots of practice problems. But his grading on exams is harsh. This is a very rigorous math course more than an engineering course. Practice a lot of problems. He has a nice curve in the end too."| "1.0, -0.5"
"Overall this class was very easy anyone can make a good grade however you need to study for the quizzes and tests. The good thing is that all his past exams and quizzes are on his website. Great lecturer and nice friendly man."| "1.0, 1.0"
"Excellent knowledge in his field. Crystal clear explanations. Review section in every lecture. Always has answers for our doubts. Worst Part is : Quizzes and Exams. Really tricky and Hard to solve. Mostly conceptual papers. Most of questions comes from his previous exam papers(available at his website)"| "0.75, 0.5"
"Decent lectures, speaks English well. Has helpful office hours. Homework and quizzes are a big part of the grade so do them! His tests are VERY hard, but he  does provide practice tests. Grading is HARSH. You either get full credit, half credit or no credit. Pretty generous grading curb at the end of the semester."| "0.0, -1.0"
"You must own the textbook that Raja recommends in his syllabus to do really well in his class. Even when I studied his homework and previous quizzes and exams, there was always at least one twenty-point exam question that I missed because it was not reviewed in the study material he provides online. Study every concept in the book...thoroughly."| "0.25, -0.0"
"grades harshly. do not curve. really bad teacher"| "-0.5, -1.0"
"Professor Raja's class is not hard. The subject is challenging but most of the time he is very clear. He's a very nice person and is very willing to help students. His lectures are worth attending and he is a fair grader. He's also very open to input. I recommend him and will take more of his classes if possible."| "0.75, -0.0"
"Well structured lectures, very clear descriptions of concepts. Always knows what he's talking about."| "1.0, -0.5"
"Grade harshly. Don't take him"| "-1.0, -1.0"
"He is a very friendly man. However, his teaching is sub-par and he grades harshly. If you want to learn the material and get a decent grade I would recommend ad different professor."| "-0.5, -0.5"
"Worst teacher ever. Half of the class got below 20 on the first test. He grades harshly. Do not take him unless you really want to fail. UTD should not keep teacher like him"| "-0.75, -1.0"
"nothing"| "-1.0, -1.0"
"Was warn of this class and professor but was not ready for what I got into. Fred tends to go on little rants and loves talking about himself, to the point the class is more about him than actually learning about performances. Extremely rude and inconsiderate towards students, wants things only he likes, no learning whatsoever for the course"| "-1.0, 0.5"
"So many of my classmates had such bad attitudes towards this class, I am not quite sure why. I thought this was such a great class and I learned so much from Professor Curchack! My only regret is that I did not take more of his classes. He is very straight-forward regarding assignments and grading, just follow the syllabus and attend class."| "1.0, 1.0"
"I love Fred! A lot of people in my class had a bad attitude and treated him poorly but he handled it with grace and more patience than I would have. He lets you redo work or submit it late with no penalty and is super flexible. He gets a bad wrap but truly wants to help you succeed and to impart the lessons he's learned. One of my fav professors."| "1.0, 1.0"
"Very rude guy and the class was such a mess. I took this class for fun and I regret it. he never acted in films.. so why is he teaching this course? overall, if he wasn't so rude and had boring lectures, the class could be more fun. we had to do a monologue from the play (Idk why it wasn't a film) the seagull which was so boring."| "-0.5, -0.0"
"This was my second class with Fred and my first in person. I didn't think I could like him more but I do! He is tough on you but it is because he cares and wants you to improve. If you don't try, he will know it, but it is definitely worth trying - you learn a lot. I really pushed myself in his class this semester and it totally paid off!"| "1.0, -0.0"
"While it's cool he lets you call him by his first name, I would gladly say that his Shakespeare in Performance class was half enjoyable. He'll make you redo/resubmit the assignments whenever he finds it "incomplete". It's happened with several other students, so even though his assignments aren't the worst, it's frustrating to redo your work."| "-0.5, -0.5"
"I loved Professor Curchack! He knows his stuff and truly cares about helping his students improve in whatever they do. He is very flexible and wants everyone to succeed. That said, he won't let you just slide by. You have to do the work. We read a lot of plays in his class, which I loved, but I know isn't for everyone. Highly recommend."| "1.0, -0.0"
"Wow, this class was a doozy. It was just a prerequisite class so I wasnt expecting much. But dang, was he LONG WINDED! He talked a lot, and somewhat aimlessly, but it was such a fun and interesting class, much to my surprise. As a fine arts major myself I found myself split between resenting being pushed out of my comfort zone and appreciating it."| "0.5, -0.0"
"Required for A&H majors but the class isn't a boring! You go over so many topics and fields and Curchack talks as if he were a friend but he is wise (must be 70 something years old) My peers were overwhelmed by assignments but they're not bad. A LOT of textbooks, just stay on track and it's a piece of cake! highly recommend."| "1.0, -0.0"
"Fred Curchack's class (100% REQUIRED in order to graduate with a degree from the School of Arts and Humanities) will most likely be a huge waste of your time. Thankfully his syllabus is easy to follow and hasn't changed in over a decade. Do the work and show up and you'll get an A - just be ready to hear him ramble about nonsense for 3 hours."| "-0.5, 0.5"
"Great, fun, wild guy. A lot of personal stories to be endured and has a tendency to ramble on continuously. Knows his stuff and cares about his students. He appreciates students who desire to learn the craft seriously, but is supportive and kind to everyone. Full of exercises to make you more comfortable and malleable. Fun class supports discovery."| "0.5, 0.5"
"Narcissistic and terribly heavy on lecturing about things that literally don't matter. Avoid at all costs. Every time I leave this class it puts me in a terrible mood because it's so boring and annoying."| "-1.0, 1.0"
"While this professor does have a tendency to ramble about his time as professional, usually the stories are entertaining. My favorite part about this class is how he gives students a lot reign when doing projects so they can work on something they love."| "0.5, 1.0"
"Fred is an amazing person and a gifted artist. Yes, he can be a little crazy and he hates giving grades, but he will grade fairly, he will respect your work as an artist, and he is so so kind. Lots of projects and reading, but not overwhelming."| "0.5, 1.0"
"Little weird. He'll lecture to the class in various voices, Robin-Williams-style. He acts like the assignments are no big deal but then grades them really hard. Super boring class, lots of movie watching and talking in a circle about pointless things."| "-0.25, -0.5"
"The hwk assignments take about 2-4 hours, once a week. No midterms/final. Easy A if you do the weekly assignments. Class is more than boring, he goes off on tangents about himself every 5 minutes. The other ppl in the class are typically very odd. Just make sure you bring another book or something to read for 3 hours of ZzZz."| "-0.75, 0.5"
"Prepare yourself for three solid hours a day of this man talking about little more than himself.  He isn't edgy, inspirational or interesting.  He is self-centered, unfunny, attention-whoring, and a modern-artist cliche.  The most pointless class I have taken in four years of college.  I learned nothing, but at least I got an A?"| "-0.5, 0.5"
"While Fred is clearly passionate about his work, his passion for himself often became the subject matter of the class. While I understand Fred's mastery of his art agree with his talent, unless they start offering "Curchack on Curchack," he'll probably continue to lecture from his own life. Still, though, teach what you know."| "-0.5, 0.5"
"Amazing artist, amazing teacher.  Controversial and can be intolerant of Christian positions, but his art is based on spiritual values nevertheless.  Can be a life changer."| "0.75, -0.5"
"One of the most passionate professors I've been privelaged to study under. Deeply sensitive to beauty; arrogantly relativistic (respectful of all viewpoints except evangelical Christianity), yet shimmers (ironically perhaps) as a divine image-bearer."| "0.5, 0.5"
"Highly recommend taking this class! The lectures are easy to follow which include a decent amount of examples to get you ready for the homework. The only reason I would say it's "easy" is because of how well he covers the topics and how he prepares the students."| "1.0, 0.5"
"Made Automata theory a very easy class to pass. I'd definitely recommend taking him because you can get what you want out of his class. If you're looking for an easy A, you'll find it. If you're looking to learn the material deeply, you'll find that too."| "1.0, 1.0"
"I don't know what else to say except this man is the GOAT. Concise lectures, offer recording, streams lecture online, fast grade, extremely understanding and patient, very accessible outside of class. Personally, he has helped me a lot and I cannot fathom the time and effort that he puts in for his students. Please take him if you can for Automata."| "1.0, 1.0"
"Solid prof. Lectures are short & simple. Makes 4384 the easiest compared to the other profs. 2 exams (take home) 5 HWs (can work with partners). Very accessible outside of class and will help you with anything. Take him for sure."| "0.5, -0.0"
"great prof for this class, study the material well and ask questions during class or outside of class and he will help you understand the concepts"| "-0.5, 0.5"
"Honestly, one of the most laid-back and chill professors I've had. He's very straightforward and often times his lectures will be much shorter than the allotted time. He gives plenty of examples and the homeworks and tests are fine if you work through them. He's very accessible outside of class; we had a class discord and he'd respond very quickly."| "1.0, 0.5"
"One of the few professors that I can recommend to everyone. Lectures are to the point - no bloat. Answers questions well during and after class. Fair grading and plenty of chance to study - exams are easier than the homework. Ideal professor."| "1.0, 0.5"
"Simply the best professor I've ever had. He is a very chill and friendly dude who actually cares about students. He tries his best to help out students and is very reachable outside of the class. Lectures are short and easy, his notes really help out. If you take Automata, he is absolutely the priority you need to pick from a pool of professors."| "1.0, 0.5"
"Always promptly answers student questions, always posts clear notes with clearly worked examples. Clear and upfront with assignments, and lectures perfectly explain the course material. Automata Theory would have been difficult to understand with any other professor, but with Prof. Stallbohm it was a walk in the park. He's a cool dude."| "1.0, -0.0"
"Legit one of the best profs at UTD. He posts all lectures with hand-worked examples online, takes the time to answer students' questions, and is very reachable outside of class (he creates a Discord server for students, so you can @ him whenever you have a question on HW)."| "1.0, 0.5"
"Chill. Very easily accessible outside of class. Definitely recognizes what's painful for students and avoids it. If I ever see this professor teaching another course, I won't even hesitate to take him again. Hands down one of the best professors I've had at UTD yet."| "1.0, 0.5"
"(Fall 2020) Professor is chill. Explains the topics pretty well. Dunno about when the class is in-person but he made a class discord which made him accessible really easily. The exam review sessions help as he gives hints on what to think about for the exam. Has a sample midterm/final that he goes over which is nice. Class gets hard at the end tho."| "0.5, -0.5"
"I disagree with the most recent comments about Zach. He doesn't lack public speech skills, its just most of the class are distracted. His class is not boring and the material is very simple."| "1.0, 1.0"
"he's a decent guy but needs to work on his public speaking skills. He knows his stuff but cannot teach properly. You will rely on YouTube videos."| "-1.0, 1.0"
"He's pretty chill. But he lacks speaking skills. You'll probably rely on youtube videos because of that. You can tell he knows his stuff. But teaching/public speaking isn't his strong suit. He is quite boring but attendnace isn't mandatory"| "-0.5, 1.0"
"His lectures usually don't use the entire time slot. Everything he says is very concise and he gives real world context for most things. His exams are almost the same as the homework and they are curved. The final project in the class was also fairly easy. He also stayed "after class" to give optional automata theory/machine learning lectures."| "1.0, 1.0"
"Chill Professor. His speaking skills aren't the best but he more than makes up for it with the way he handles class. It's clear that he knows his stuff. He is also very practical and gives you insight about how things are in the real world. He is amazing at answering questions and is very caring about his students. Would take again."| "0.5, -0.0"
"Professor Zachary is one of the best professor I have ever seen in this university. Class are short but valueable, usually only 45 minutes. CS4384 is a hard class but he is trying to make it easy to understand. Curve the final grade when all item in class are graded. He is also available in office hour, willing to help when you have any confusion."| "1.0, -0.5"
"I love him, took him for both data structures and automata theory. Not gonna lie when i took data structures with him i skipped most lectures, but when i took him for automata theory, loved every second of class, hes very interesting as opposed to all the bland teachers that teach the same subject. Homework is there but it's not a lot, hes funny to"| "1.0, -0.0"
"I took his class for both automata theory and Data Structures, he's freaking awesome, very lenient with his class and unlike most teachers in this stupid university will answer your questions no matter how many times you ask it, he wont get mad. He's super chill, wish i could take all my classes with him. The tests are pretty hard though."| "0.5, -0.0"
"Wonderful professor! Exams and Quizzes all allow one page, front and back, of notes. Incredibly easy to pass, not hard to get a B or above. Very caring and respectful and will give great career advice. Homework's due every week but they prepare you well for the exams. Final Project has a good amount of guidance and a good grade booster!"| "0.5, 0.5"
"Great professor who gives lectures relevant to both exams and the industry. As long as you take note of everything he writes on the board each class, you will be well prepared for the exams, quizzes, homeworks, and final design project. The more effort you put into the class, the higher your final grade will be. Passing should not be difficult."| "1.0, -0.0"
"He gives extra credit problems in the exams that can be answered if you attend the letures. The grade refleciton in this course is more dependent on your effort in the course. Dont try to BS the class."| "0.0, -0.5"
"Take Him! Awesome professor! My favorite class in UTD ever! The class material is easy but you have to actually understand it for the exam! Open books exams and quizzes (you HAVE to study for exams/quizzes or you will loose your hr class going thru your notes to answer 20 questions) 12 hws and 1 project!"| "1.0, -0.0"
"Really great prof all around. Doesn't record lectures but as long as you attend class the HWs will be easy. Exams are open note so write everything down from lecture and you will do well."| "1.0, 0.5"
"Professor Lehman is by far the best professor i had at UTD. His so incredibly helpful upon answering any inquiries. He encourages students to be the best version of themselves. Very respectful and helped me on my project in a way i have never dreamed of. Knows his material very well and is a fantastic lecturer. Definitely recommending this class"| "1.0, -0.5"
"Best professor I have had so far. Class is naturally tough, but he makes every effort to try and help you along the way. Cares about his students and his lectures explain all that need to be on the test. Just make sure you take note of everything he explains, he will put even a small side comment on a test."| "1.0, -0.0"
"one of the best professors but a very tough grader. i recommend taking this course under different professor. take it easy and u will never pass this course."| "0.0, -1.0"
"One of the best at UTD. Very good lectures with his own stories about the engineering world incorporated into each lecture. Makes the material so easy to understand. Offers 10% extra credit on each quiz (3 quizzes total for 15% percent of grade). Offers 10% extra credit on each exam which the 3 exams are majority of the grade."| "1.0, -0.0"
"Easiest grad level course I had at UTD. He's extremely nice, knowledgeable and presents well but he doesn't go into depth in any of the concepts (it's a system class after all) so it's not worth to take it if you have a little background in RF already or if you're expecting to get a lot out of the course. Tests are very easy, but no room for error"| "1.0, 0.5"
"This teacher is by far hands down one of the best in UTD. He takes time to explain RF design and makes you feel like you can do anything very easy! He will run through many examples and there are no surprises like the other profs at UTD. He is straight forward and very interested in the subject! He is after student success not failing students!"| "1.0, 0.5"
"Wow!! Prof. Lehmann is the best! Easily among the BEST TOP 3 professors of UTD Eric Johnson School of Engg. Has an immense ocean of knowledge regd the subject. Down-to-earth attitude. He explains in such a way that it instills a zeal within us to learn more and more about the subject and he is always there to help. Superb lectures and inspirational"| "1.0, 0.5"
"Great course. And he's a great professor. Very professional and makes you work hard His grading is tough. Don't screw up in exams"| "0.5, -0.5"
"best professor on campus"| "1.0, 1.0"
"Not just a good professor but he's a good person as well.  Very humble and always there for you to help. Lectures are clear, project will not be that tough.  His exams will be fairly easy but grading curve is quite sharp. You cannot afford making silly mistakes."| "1.0, -0.0"
"He's a very good prof. His tests are easy, the only thing is there are no partial credit in his exams. The grading is absolute (you need 92+ to get an A) which makes it difficult. You need to study lecture notessildes and do the homeworks to succeed. His exams are long so you need to be fast and accurate."| "0.75, -0.0"
"Dr. Lehman is the Man!! No but seriously hands down one of the best EE professors I had in my undergrad degree. Clear and concise on all things he explains."| "1.0, -0.0"
"Great professor, very helpful and interesting projects"| "0.75, -0.5"
"Great professor. Fair grading, isn't out to get you, interesting lectures, group project using AWR VSS gains you useful experience"| "1.0, 0.5"
"Good prof. Lectures were organized and clear and quizzes were right off the notes. Project is very fair and not all that time consuming (done in AWR MWO). Doesn't answer emails very quickly but that's the only negative."| "0.75, -0.0"
"Dr. Park is one of the finest minds and most inspiring professors I've ever encountered. He taught me what it meant to think historically, analyze critically, and write academically. His classes are truly gifts."| "1.0, -0.5"
"In Hist. classes you have to read a lot, in Phil. you read deeply--Dr. Park makes you do both. If you are a very confident student/writer, you'll be okay. Esp. if you like the quasi-pop quizzes he calls "discussions" and if you enjoy tough single-question essay tests. As an exhausted senior I found him disorganized, tough and frustrating. YMMV."| "-0.5, -1.0"
"Park is controversial, a good fit for some, poor for others. GOOD: If you can handle lots of readings, tough but fair grading, few things to be graded by. POOR: If you can't handle unorthodox lecture style or lots of reading. FWIW I've taken 2 of his classes & enjoyed them. He knows his stuff & cares about his students. Never felt disrespected."| "0.5, -0.0"
"I used to enjoy history until I took his class. All he does is read from slides and tends to ramble...a lot and off topic a lot. Very tough grader. Would never recommend him to anyone. He does not care about the students time and keeps talking even after class is over, students have other classes to get to, but he doesn't care."| "-1.0, -0.5"
"120-pg reading assigned per class. Does not lecture. Classes are discussion-based and do not help you to become a better writer nor thinker since discussions tend to be haphazard and off-topic. Yet grades very tough on essays. Has his own way of thinking and does not listen to others, hence why people do not show up to class."| "-1.0, -1.0"
"Professor Park is excellent in encouraging independent readings and in-class discussions. He has his own techniques of organising a class, and above all, he is absolutely responsible and patient with the students. He spends extra time talking with students and finding ways to solves problems a student may have."| "1.0, -0.0"
"I took this course back in 2011.  Texts were interesting but he seemed to have limited knowledge of the content.  Instead, his discussion-based lectures were mostly random and off-topic.  His tone was very sarcastic.  He often mocked, ridiculed, or ignored students. No clear grading criteria for papers."| "-1.0, -1.0"
"Dr. Park is a wonderful teacher. He does expect a lot from his students but is always willing to help. He is very knowledgeable on the subjects he teaches. I would highly recommend taking Dr. Park."| "0.75, 0.5"
"He is strict beyond belief! But he knows his material and gives great lectures. While tough on grading, he is helpful when you need it, just go during his office hours. Took two courses with him and I don't regret it. I require a  lot of structure and his courses gave it!"| "0.0, -1.0"
"I love History, always have but Dr. Park makes me hate it. His lectures are discussion based, but no matter how you answer you will be WRONG and he will let you know. The reading is a lot although it's quite interesting. I would not recommend this class to anyone. Dr. Park is a very refined speaker, which makes it difficult to follow him in lecture"| "-0.25, -0.0"
"Mediocre at best. Makes you raise hand to speak as if in grade school, allows discussion to go on for 20 minutes which could have been avoided if he and other students bothered to read material more closely, teaches from books he admits he's never read before, grades oddly. Books selected are interesting, heavy reading assignments, one 20-pg work."| "-0.25, -1.0"
"Lectures are incomprehensible. Spends all of class calling on people to see if they did the unrealistic, difficult weekly reading assignment.  Sarcastic to students if they give incorrect answers. Avoid this professor."| "-1.0, -0.5"
"Not a history major, but found the class entertaining and helpful in other classes. A lot of reading is required and there are a lot of writing assignments. Didn't seem to grade too hard though. I would take another class if he taught Econ (my major)"| "1.0, -0.0"
"I agree with many of the above posts, he is a very helpful teacher and entertaining lecturer. He does a good job of allowing open discussion and guiding it in the right direction. Don't expect an easy grade though, he does require an in-depth understanding of the material on the papers, tests, and class discussions."| "0.75, -0.0"
"Strange pacing & speaking during lectures. Can be quite long winded making him hard to listen to, feeling antsy. Oddly worded questions to students, if you don't answer the way he expects he will let you know that you were obviously off. Mandatory readings, class discussions often, will pick people from roster if no hand is raised."| "-0.5, -0.5"
"lots of reasons to like Dr Park. He's charming, handsome, speaks with lofty erudition...very smart guy too. best thing about him is that he challenges the students not only to keep up with readings but also to speak intelligently in class. Do not take his class if you are lazy and do not blame your poor performance on him."| "1.0, -0.5"
"Good guy. He knows his stuff but doesn't really know how to translate it to students. Class consists of guided discussion and him mocking what students say."| "-0.25, -0.5"
"I took him for philosophy, it was his first semester teaching it so i think he just needs some tweaking on his teaching skills. attending class didn't do crap, just listened to students talk about what they thought about life basically. no tests, just essays, one 6 page, one 10 page. if you are a good fluffy writer, you'll do fine. if not, expect a"| "0.25, -0.0"
"Dr. Park's class was challenging, especially for those without philosophy backgrounds. The grading was hard but always fair. In addition, he was very helpful, encouraging, and genuinely cared about students' progress."| "0.75, -1.0"
"Really good teacher.  He's always available to help students with essays and questions.  I usually get an email response back from him within a couple of hours.  Lectures and classroom discussions.  Reading is mandatory as he will ask questions.  Incredibly nice and easy going.  One test, two papers (6 and 10 pages).  Will be taking again."| "1.0, -0.5"
"I can't really give him a proper review since I would either skip class or get lost. If you skip class or don't do the HW early, you'll get lost during lectures. In the end, it might result to self learning which is probably every MATH class you've taken. Nevertheless, he has a chill personality and wants you to ace your exams."| "0.5, -0.5"
"He is one of the better choices for this class. Pereira is a great professor who helps his students understand the material and he gives lots of practice in class. His notes are usually online before the class starts, so you can follow along. He is also the coordinator for the course, which is a big plus for the class."| "1.0, -0.0"
"Anyone hating on him clearly didn't pay attention in class. He posts all his notes, wants class to participate, and encourages us to study the homework as it is fairly similar to the tests. kind of old fashioned with printed out notes on a projector, but they were helpful nonetheless."| "0.5, -0.0"
"Dr. Preira seems to know the concepts of his teaching very well and he is thorough in teaching them. I had a hard time understanding his notes and his way of teaching though. I recommend either reading the TB or going through the concepts first covered before the lecture. I felt that I learned more from my TA than from him."| "-0.5, -1.0"
"Dr. Pereira clearly has a low rating because he added Honorlock to his final exam during ONE semester when the class was online. After having warned students that this may happen if there was evidence of cheating. Dr. Pereira has great lectures and has greatly helped me understand the class material. One of the best professors I've ever had!"| "1.0, -0.0"
"I had a great experience with Dr. Pereira. His lectures were very thorough and explained the information clearly. Doing the homework and going to his office hours was also very helpful and definitely brought my grade up. Ive always had a harder time in math and Dr. Pereira made it seem easy. I highly recommend Dr. Pereira."| "1.0, -0.5"
"So here we have the "coordinator" for the Linear Algebra Math Department, as my first impression of UTD professors this left me bitter. The 2 midterms were challenging but decent, but that doesn't matter when you're hit with the unnecessarily hard final exam undoing all of that hard work. Enjoy watching your letter grade fall 2 places. Take Collin."| "-1.0, -0.5"
"Professor Pereira seems to be an ok math professor. He cares about the math anyway. Any time I tried to email him outside of class he would ignore me unless I CCed his TA. On two occasions he asked me if I was even in his class and that I should contact another professor. He sucks but he might still be your best choice for this class sadly."| "-1.0, -1.0"
"Worst math class I have ever taken. He changed the test format last minute, makes the tests insanely hard compared to homework and lectures, and doesn't respond to emails. The average and median grade for exam 1 and 2 were both around a 65 (failing!). Despite this, exam 2 and final were not curved and the final grade curve was not enough."| "-1.0, -1.0"
"There was never a single actual review given to us to prepare us for the exams. Also, we were notified that the final would be closed book a week before the exam and the questions are incredibly difficult."| "-1.0, -1.0"
"Where do i start. Nearly fell asleep in everyone of the lectures i connected to. for coordinating the course youd think hed be more engaging. id recommend Dr Dahl or Dr Patel"| "-1.0, -0.5"
"The lin alg department run by Pereira had 0 consideration for the effects of their decisions on students. From ghosting emails, to flagging random students as cheating instead of really grading, to changing the state of exams shortly before the test day. Couldn't have gone worse. Textbook is awful, YT videos and group study sessions could save you."| "-1.0, -1.0"
"This guy's level of incompetence is government-worthy. He changed the format of the final from open-book with no proctoring to closed book with proctoring less than a week before the final. He claims he and the other MATH2418 professors have "considerable experience", but I wouldn't trust them to teach kindergarten. Avoid him, and avoid this class."| "-1.0, -1.0"
"Very lackluster professor and extremely poor coordinator for the linear algebra program. Decided to change the format of the final SIGNIFICANTLY a week before it was to be held. When students emailed with concerns, he responded passive aggressively. Had to curve a test 25 points because it was so poorly written. I could go on, but not enough chars."| "-1.0, -1.0"
"Never again. At least not during the pandemic. This was easily the most artificially difficult math classes ever taken. If studying directly from the textbook, homework, and attending lectures wont help in a class, it's not worth it. The exams are designed to have questions only a mathematician in the field would know how to solve. Never again."| "-1.0, -1.0"
"Has a little bit of an accent but its not a problem. He lectures a little quick but its still understandable. Overall a really good choice for a 2418 professor."| "1.0, -0.5"
"Hes an amazing professor, if you know the homeworks then you know the exams. He always answers questions in class and his notes are very organized. He explains concepts in a concise way. I always thought he did an excellent job introducing a topic and explaining it. If you need help, go to his office hours. He is one of the best professors ever"| "1.0, -0.0"
"Good professor. Has a bit of an accent. He encourages students to ask questions during class. The tests are very similar to quizzes, and the homeworks prepare you for the quizzes nicely. There was also extra credit on the final to boost scores. However, he will not answer questions about the class itself asked after class ends."| "0.0, -0.0"
"His lectures are good, he'll go over the concepts and does quite a bit of examples.  Go to class, otherwise you'll be completely lost, the textbook is pretty dense and hard to understand.  He's extremely nice and he's really easy to reach after class."| "1.0, -0.5"
"Prof Pereira is an excellent lecturer who I would recommend to anyone taking linear algebra. His lectures are easy to understand and thorough. He makes sure to take time to work through many example problems, sometimes dedicating whole classes to this end. Additionally, I appreciated the real world applications for the concepts that he presented."| "1.0, -0.0"
"just boring"| "-0.5, 0.5"
"She was nice but also strict. She expected you to give the same amount of time to learning new pieces as you would studying for an exam, which is fine but it just didn't appeal to me. Otherwise, it was not a fun or enjoyable class. Just someone giving you a theory book and telling you to learn it while giving you critique"| "-0.5, -0.0"
"I took her last spring for Piano II, and she was awesome! I don't know what the negative reviews are talking about. She was very willing and good at helping me master my pieces in time for the recital at the end of the semester and was timely with replying to emails regarding any questions. Definitely consider taking her if you can!"| "1.0, 0.5"
"I had her this semester for Piano 2. She was very honest and helpful to me. I am going to take the class again, and once more after that for my upper level electives. Just show up to class & put in time ON YOUR OWN practicing your pieces. I like her personality & I LOVE how she describes how something should sound. She is very abstract & she CARES"| "1.0, -0.5"
"She is very nice, although sometimes boring. Attend class, participate in class, turn in assignments, and you will have a good grade."| "0.0, 0.5"
"Disorganized, syllabus pointless, book required but rarely used. Rambles on about her career, and looks down on people with no knowledge of music theory/history. Favors students she knows and likes to pick on certain students who show lack of interest. Strongly opiniated and likes to bash on music she personally finds simple and uninteresting."| "-0.5, -0.0"
"I took Mary for Piano 1.  I learned much more than I expected. She doesn't  just teach the piano; she teaches an appreciation for music. I learned lots of music theory and how to fluently read music. She can be tough on you, especially if you care what she thinks about you and you might not at first but you will. Her critiques are fair and honest."| "1.0, 1.0"
"Doesn't follow syllabus. Very vague in her explanations of assignments, and fails to clarify. Spends a lot of time talking about her career. Gives assignments she doesn't take up. Does not cover many aspects of Art & Performance. Has very narrow idea of what art can be. Buy texts cheap or borrow, used for 2 or 3 assignments, but expected to read."| "-0.5, 0.5"
"No imagination what so ever."| "-1.0, -1.0"
"Great professor. I knew nothing about piano prior attending the class and I really enjoyed it. I am not a music major, but I did not feel left out in any way. She's very understanding and willing to help. Fun class!"| "1.0, 1.0"
"Took Piano 2. Prof. Medrick is awesome! Practice a lot, show improvement, and you will get an A. Very nice, interactive, and funny. Perhaps a bit eccentric, but humorously so. Never really returns grades to you, though. Do the papers and you should be pulling an A. She is genuinely interested in seeing you grow in your musical ability. I recommend."| "0.5, 0.5"
"doesnt really keep track of grades. She'll look at hw and ask for an essay but it will not factor too much into the final grade. shes willing to teach. all you have to do is show an interest practice and show improvement over the semester and you are likely to get an A."| "0.75, 1.0"
"She gives great advice and is good at helping you actually play the piece, but is horrible at explaining music theory. Rambles on and on about other things, and if you're like me, you'll be Googling things after class trying to figure out what the heck she was trying to explain"| "-0.5, 0.5"
"I took her beginning piano course. It was boring, full of just practicing by yourself and occasionally performing in front of her. There was theory homework that she didn't teach very well, so everyone was confused. She's an eccentric lady.However, I had to miss the end-of-the-year performance for a family event, and she was not understanding at al"| "1.0, 0.5"
"The class was pretty useless. If you're not in theatre, play piano, or a professional established artist she thinks you are stupid. She plays favorites BIG TIME. Oh, and by the way she will roll her eyes and laugh at you infront of the whole class.  She thinks way too highly of herself. It is an easy class if you can stand her horrible personality!"| "-0.5, 1.0"
"Her only grades are projects and there are quite a few.  They are easy and dont pertain to anything in particular, just different than any other art class i have taken.  She loves to watch You Tube.  Also, do not buy the books she requires, i was upset i wasted my money."| "-1.0, 1.0"
"Love her.  My most favorite professor EVER.  I will actually use what I learned in this class in my life after college!  Assignments were relevant and purposeful."| "0.75, 1.0"
"When I say "Easy" I mean that you can get an A. But playing piano well (to her standards) is no easy task if you are just a beginner. But she is an amazing teacher that will make you a MUCH better pianist if you let her. She has an amazing ear and great musical background and sensibilities, and she will definitely respect your tastes."| "1.0, 1.0"
"Though very nice lady, was horrible at this class. Spent undue amounts of time gabbing with the theater/music students, neglected others (like art). Assigned several textbooks (one out of print), and the others barely touched on. Gave assignments that she barely took the time to read, sometimes didn't even take up. Easy, but huge waste of time."| "0.25, 1.0"
"I love her. She is real musician in the world. She reads the potential of the students."| "1.0, 1.0"
